Time: 1576424811, Messages: 0, Members Joined: 0
Time: 1576424816, Messages: 0, Members Joined: 0
Time: 1576424821, Messages: 0, Members Joined: 0
Time: 1576424826, Messages: 0, Members Joined: 0
Time: 1576424831, Messages: 0, Members Joined: 0
Time: 1576424836, Messages: 0, Members Joined: 0
Time: 1576424844, Messages: 0, Members Joined: joined
Time: 1576424849, Messages: 2, Members Joined: 0
Time: 1576424854, Messages: 0, Members Joined: 0
Time: 1576424859, Messages: 1, Members Joined: 0
Time: 1576424864, Messages: 1, Members Joined: 0
Time: 1576424869, Messages: 0, Members Joined: 0
Time: 1576424874, Messages: 0, Members Joined: 0
Time: 1576424879, Messages: 0, Members Joined: 0
Time: 1576424884, Messages: 0, Members Joined: 0
Time: 1576424889, Messages: 0, Members Joined: 0
Time: 1576424894, Messages: 0, Members Joined: 0
Time: 1576424899, Messages: 0, Members Joined: 0
Time: 1576424904, Messages: 0, Members Joined: 0
Time: 1576424909, Messages: 0, Members Joined: joined
Time: 1576424914, Messages: 2, Members Joined: 0
Time: 1576424919, Messages: 0, Members Joined: 0
Time: 1576424924, Messages: 0, Members Joined: 0
Time: 1576424929, Messages: 0, Members Joined: 0
Time: 1576424934, Messages: 0, Members Joined: 0
Time: 1576424939, Messages: 0, Members Joined: 0
Time: 1576424944, Messages: 0, Members Joined: 0
Time: 1576424948, Messages: 0, Members Joined: joined
Time: 1576424953, Messages: 6, Members Joined: 0
Time: 1576424958, Messages: 4, Members Joined: 0
Time: 1576424963, Messages: 0, Members Joined: 0
Time: 1576424968, Messages: 0, Members Joined: 0
Time: 1576424973, Messages: 0, Members Joined: 0
Time: 1576424978, Messages: 0, Members Joined: 0
Time: 1576424983, Messages: 0, Members Joined: 0
Time: 1576424988, Messages: 0, Members Joined: 0
Time: 1576424993, Messages: 0, Members Joined: 0
Time: 1576424998, Messages: 0, Members Joined: 0
Time: 1576425003, Messages: 0, Members Joined: 0
Time: 1576425008, Messages: 0, Members Joined: 0
Time: 1576425013, Messages: 0, Members Joined: 0
Time: 1576425018, Messages: 0, Members Joined: 0
Time: 1576425023, Messages: 0, Members Joined: 0
Time: 1576425028, Messages: 0, Members Joined: 0
Time: 1576425033, Messages: 0, Members Joined: 0
Time: 1576425038, Messages: 0, Members Joined: 0
Time: 1576425043, Messages: 0, Members Joined: 0
Time: 1576425048, Messages: 0, Members Joined: 0
Time: 1576425054, Messages: 0, Members Joined: joined
Time: 1576425059, Messages: 2, Members Joined: 0
Time: 1576425064, Messages: 0, Members Joined: 0
Time: 1576425069, Messages: 0, Members Joined: 0
Time: 1576425077, Messages: 0, Members Joined: joined
Time: 1576425082, Messages: 0, Members Joined: 0
Time: 1576425087, Messages: 6, Members Joined: 0
Time: 1576425092, Messages: 3, Members Joined: 0
Time: 1576425097, Messages: 1, Members Joined: 0
Time: 1576425102, Messages: 0, Members Joined: 0
Time: 1576425107, Messages: 0, Members Joined: 0
Time: 1576425112, Messages: 0, Members Joined: 0
Time: 1576425117, Messages: 0, Members Joined: 0
Time: 1576425122, Messages: 0, Members Joined: 0
Time: 1576425127, Messages: 1, Members Joined: 0
Time: 1576425132, Messages: 0, Members Joined: 0
Time: 1576425137, Messages: 0, Members Joined: 0
Time: 1576425142, Messages: 0, Members Joined: 0
Time: 1576425147, Messages: 0, Members Joined: 0
Time: 1576425152, Messages: 0, Members Joined: 0
Time: 1576425157, Messages: 0, Members Joined: 0
Time: 1576425162, Messages: 0, Members Joined: 0
Time: 1576425167, Messages: 0, Members Joined: 0
Time: 1576425172, Messages: 0, Members Joined: 0
Time: 1576425177, Messages: 0, Members Joined: 0
Time: 1576425182, Messages: 0, Members Joined: 0
